start_node,end_node,weight
H1V2B1,H2V2,3
H1V2B1,H1V3,3
H1V3,H2V3,1
H1V3,H1V4,3
H1V4,H2V4,6
H1V4,H1V5,3
H1V5,H2V5,6
H1V5,H1V6,3
H1V6,H2V6,3
H1V6,H1V7,3
H1V7,H2V7,2
H1V7,H1V8,3
H1V8,H2V8,8
H2B1,H3B1,3
H2V2,H3V2,3
H2V2,H2V3,3
H2V3,H3V3,1
H2V3,H2V4,3
H2V4,H3V4,6
H2V4,H2V5,3
H2V5,H3V5,6
H2V5,H2V6,3
H2V6,H3V6,3
H2V6,H2V7,3
H2V7,H3V7,2
H2V7,H2V8,3
H2V8,H3V8,8
H3V2,H4V2,3
H3V2,H3V3,6
H3V3,H4V3,1
H3V3,H3V4,6
H3V4,H4V4,6
H3V4,H3V5,6
H3V5,H4V5,6
H3V5,H3V6,6
H3V6,H4V6,3
H3V6,H3V7,6
H3V7,H4V7,2
H3V7,H3V8,6
H3V8,H4V8,8
H4V1B1,H5V1,7
H4V1B1,H4V2,10
H4V2,H5V2,3
H4V2,H4V3,10
H4V3,H5V3,1
H4V3,H4V4,10
H4V4,H5V4,6
H4V4,H4V5,10
H4V5,H5V5,6
H4V5,H4V6,10
H4V6,H5V6,3
H4V6,H4V7,10
H4V7,H5V7,2
H4V7,H4V8,10
H4V8,H5V8,8
H5V1,H6V1,7
H5V1,H5V2,9
H5V2,H6V2,3
H5V2,H5V3,9
H5V3,H6V3,1
H5V3,H5V4,9
H5V4,H6V4,6
H5V4,H5V5,9
H5V5,H6V5,6
H5V5,H5V6,9
H5V6,H6V6,3
H5V6,H5V7,9
H5V7,H6V7,2
H5V7,H5V8,9
H5V8,H6V8,8
H6B1,H7B1,3
H6B1,H6V1,1
H6V1,H7V1,7
H6V1,H6V2,1
H6V2,H7V2,3
H6V2,H6V3,1
H6V3,H7V3,1
H6V3,H6V4,1
H6V4,H7V4,6
H6V4,H6V5,1
H6V5,H7V5,6
H6V5,H6V6,1
H6V6,H7V6,3
H6V6,H6V7,1
H6V7,H7V7,2
H6V7,H6V8,1
H6V8,H7V8,8
H7B1,H7V1,4
H7V1,H8V1,7
H7V1,H7V2,4
H7V2,H8V2,3
H7V2,H7V3,4
H7V3,H8V3,1
H7V3,H7V4,4
H7V4,H8V4,6
H7V4,H7V5,4
H7V5,H8V5,6
H7V5,H7V6,4
H7V6,H8V6,3
H7V6,H7V7,4
H7V7,H7V8,4
H8V1,H9V1,7
H8V1,H8V2,2
H8V2,H9V2,3
H8V2,H8V3,2
H8V3,H9V3,1
H8V3,H8V4,2
H8V4,H9V4,6
H8V4,H8V5,2
H8V5,H9V5,6
H8V5,H8V6,2
H8V6,H9V6,3
H9V1,H10V1,7
H9V1,H9V2,7
H9V2,H10V2,3
H9V2,H9V3,7
H9V3,H10V3,1
H9V3,H9V4,7
H9V4,H10V4,6
H9V4,H9V5,7
H9V5,H10V5,6
H9V5,H9V6,7
H9V6,H10V6,3
H10V1,H11V1,7
H10V1,H10V2,5
H10V2,H11V2,3
H10V2,H10V3,5
H10V3,H11V3,1
H10V3,H10V4,5
H10V4,H11V4,6
H10V4,H10V5,5
H10V5,H11V5,6
H10V5,H10V6,5
H10V6,H11V6,3
H11V1,H12V1,7
H11V1,H11V2,5
H11V2,H12V2,3
H11V2,H11V3,5
H11V3,H12V3,1
H11V3,H11V4,5
H11V4,H12V4,6
H11V4,H11V5,5
H11V5,H12V5,6
H11V5,H11V6,5
H12V1,H12V2,4
H12V2,H12V3,4
H12V3,H12V4,4
H12V4,H12V5,4
H2B1,H1V2B1,10
H2B1,H2V2,10
H3B1,H4V1B1,10
H3B1,H3V2,10
H4V1B1,H6B1,10
