nodes,x,y
H1V2B1,11,5
H1V3,11,6
H1V4,11,7
H1V5,11,8
H1V6,11,9
H1V7,11,10
H1V8,11,11
H2B1,10,4
H2V2,10,5
H2V3,10,6
H2V4,10,7
H2V5,10,8
H2V6,10,9
H2V7,10,10
H2V8,10,11
H3B1,9,3
H3V2,9,5
H3V3,9,6
H3V4,9,7
H3V5,9,8
H3V6,9,9
H3V7,9,10
H3V8,9,11
H4V1B1,8,2
H4V2,8,5
H4V3,8,6
H4V4,8,7
H4V5,8,8
H4V6,8,9
H4V7,8,10
H4V8,8,11
H5V1,7,2
H5V2,7,5
H5V3,7,6
H5V4,7,7
H5V5,7,8
H5V6,7,9
H5V7,7,10
H5V8,7,11
H6B1,6,1
H6V1,6,2
H6V2,6,5
H6V3,6,6
H6V4,6,7
H6V5,6,8
H6V6,6,9
H6V7,6,10
H6V8,6,11
H7B1,5,0
H7V1,5,2
H7V2,5,5
H7V3,5,6
H7V4,5,7
H7V5,5,8
H7V6,5,9
H7V7,5,10
H7V8,5,11
H8V1,4,2
H8V2,4,5
H8V3,4,6
H8V4,4,7
H8V5,4,8
H8V6,4,9
H9V1,3,2
H9V2,3,5
H9V3,3,6
H9V4,3,7
H9V5,3,8
H9V6,3,9
H10V1,2,2
H10V2,2,5
H10V3,2,6
H10V4,2,7
H10V5,2,8
H10V6,2,9
H11V1,1,2
H11V2,1,5
H11V3,1,6
H11V4,1,7
H11V5,1,8
H11V6,1,9
H12V1,0,2
H12V2,0,5
H12V3,0,6
H12V4,0,7
H12V5,0,8
