,B1,V1,V2,V3,V4,V5,V6,V7,V8
B1,,B1-V1,B1-V2,,,,,,
H1,H1-B1,,H1-V2,H1-V3,H1-V4,H1-V5,H1-V6,H1-V7,H1-V8
H2,H2-B1,,H2-V2,H2-V3,H2-V4,H2-V5,H2-V6,H2-V7,H2-V8
H3,H3-B1,,H3-V2,H3-V3,H3-V4,H3-V5,H3-V6,H3-V7,H3-V8
H4,H4-B1,H4-V1,H4-V2,H4-V3,H4-V4,H4-V5,H4-V6,H4-V7,H4-V8
H5,,H5-V1,H5-V2,H5-V3,H5-V4,H5-V5,H5-V6,H5-V7,H5-V8
H6,H6-B1,H6-V1,H6-V2,H6-V3,H6-V4,H6-V5,H6-V6,H6-V7,H6-V8
H7,H7-B1,H7-V1,H7-V2,H7-V3,H7-V4,H7-V5,H7-V6,H7-V7,H7-V8
H8,,H8-V1,H8-V2,H8-V3,H8-V4,H8-V5,H8-V6,,
H9,,H9-V1,H9-V2,H9-V3,H9-V4,H9-V5,H9-V6,,
H10,,H10-V1,H10-V2,H10-V3,H10-V4,H10-V5,H10-V6,,
H11,,H11-V1,H11-V2,H11-V3,H11-V4,H11-V5,H11-V6,,
H12,,H12-V1,H12-V2,H12-V3,H12-V4,H12-V5,,,
